,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION
62,US1ILWL0119,"HOMER GLEN 1.6 NW, IL US",41.6240882873535,-87.9552841186523,217.6
63,US1ILCK0407,"MATTESON 0.9 E, IL US",41.510573,-87.720298,215.2
64,US1ILCK0406,"PALATINE 1.5 NE, IL US",42.130082,-88.026691,230.1
65,US1ILDP0109,"ELMHURST 0.8 ESE, IL US",41.89287,-87.929556,209.1
66,US1INLK0067,"SCHERERVILLE 1.1 E, IN US",41.4892921447754,-87.4274597167969,196.6
67,US1ILWL0180,"MOKENA 4.4 WNW, IL US",41.555341,-87.955494,217.6
68,US1ILWL0065,"CRETE 2.6 SSW, IL US",41.417084,-87.630024,230.4
69,US1ILWL0063,"NEW LENOX 1.8 SE, IL US",41.49964,-87.96025,213.7
70,US1ILDP0102,"BOLINGBROOK 2.7 NE, IL US",41.730198,-88.044797,233.8
71,USW00004838,"CHICAGO PALWAUKEE AIRPORT, IL US",42.12076,-87.90479,191.6
72,US1ILWL0185,"LOCKPORT 0.3 WNW, IL US",41.592119,-88.053409,196.3
73,US1ILDP0189,"DOWNERS GROVE 1.8 SSE, IL US",41.7721,-88.0064,234.7
74,US1ILDP0100,"BARTLETT 1.1 SE, IL US",41.969245,-88.1873,239.6
75,US1ILCK0243,"ELMWOOD PARK 0.7 ESE, IL US",41.917679,-87.803688,195.4
76,US1ILCK0364,"EVERGREEN PARK 0.4 WNW, IL US",41.723266,-87.708302,189.6
77,US1ILWL0103,"JOLIET 1.8 NNE, IL US",41.5519218444824,-88.1105804443359,196.6
78,US1ILDP0187,"LOMBARD 0.2 N, IL US",41.877941,-88.015299,221.9
79,US1ILCK0121,"PALATINE 1.3 E, IL US",42.113853,-88.017779,223.1
80,US1ILDP0186,"MEDINAH 0.8 S, IL US",41.963429,-88.058337,228.0
81,US1INLK0063,"GARY 4.8 ENE, IN US",41.6169548034668,-87.2546310424805,186.5
82,US1INPT0157,"PORTAGE 2.4 NNW, IN US",41.619426,-87.196292,188.1
83,US1ILLK0128,"LAKE FOREST 2.0 WSW, IL US",42.2201111,-87.8905349,206.3
84,US1ILDP0192,"LOMBARD 1.7 NW, IL US",41.895164,-88.035137,217.9
85,US1ILDP0191,"WINFIELD 0.7 NE, IL US",41.877803,-88.1429,236.2
86,US1ILDP0190,"ROSELLE 1.0 SE, IL US",41.969552,-88.070584,230.7
