"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-03-04",,"38","23"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-03-05",,"36","30"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-03-06",,"32","26"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-03-07",,"36","23"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-03-08",,"48","33"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-03-09",,"53","39"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-03-10",,"62","39"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-03-11",,"74","42"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-03-12",,"81","59"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-03-13",,"72","62"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-03-14",,"69","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-03-15",,"68","45"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-03-16",,"62","40"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-03-17",,"46","34"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-03-18",,"43","26"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-03-19",,"31","21"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-03-20",,"45","20"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-03-21",,"63","32"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-03-22",,"51","38"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-03-23",,"38","23"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-03-24",,"38","25"
